biuro_kwota; biuro_nazwa; dzial_kwota; dzial_nazwa; dzial_sub_kwota; dzial_sub_nazwa; gmina; zadanie; zadanie_kwota; zadanie_typ; zadanie_tresc;
 2.741.618;Biuro Architekta Miasta; 179.129;710 Działalno ść  usługowa; 179.129;71095 Pozostała działalno ść;Gmina;2156511 - Ró Ŝ ne wydatki zwi ą zane z bie Ŝą c ą  działalno ś ci ą  Biura.; 65.000;wydatki bie Ŝą ce;W ramach zaplanowanej kwoty realizowane b ę d ą  m. in. nast ę puj ą ce wydatki:  - zakup i oprawa map topograficznych i obr ę bowych oraz planów Łodzi, zakup usług obejmuj ą cych monitoring procesów przestrzennych, - zakup usług kserograficznych oraz wydawnictw specjalistycznych,  - konkurs na stworzenie projektu ksi ąŜ ki "Czym jest miasto" (grupa wiekowa 14-17 lat),  - usługa wydruku publikacji "Czym jest miasto" (grupa wiekowa 6-13 lat) oraz publikacji architektoniczno-urbanistycznej o Łodzi, - konkurs na najlepsz ą  prac ę  dyplomow ą  licencjack ą  lub magistersk ą  z dziedziny architektury, architektury wn ę trz, urbanistyki, planowania przestrzennego, kultury, ochrony dziedzictwa narodowego dla absolwentów łódzkich uczelni wy Ŝ szych w roku akademickim 2013/2014.;
;;;;;;;2156691 - Realizacja zada ń  zwi ą zanych ze Strategi ą  rozwoju ulicy Piotrkowskiej; 114.129;wydatki bie Ŝą ce;W ramach zaplanowanej kwoty realizowane b ę d ą  m. in. nast ę puj ą ce wydatki wynikaj ą ce ze Strategii rozwoju ulicy Piotrkowskiej w tym m.in.:                   - wykonanie koncepcji urbanistycznych Łodzi,                   - organizacja ogólnodost ę pnych bezpłatnych wydarze ń  w przestrzeniach publicznych Strefy Wielkomiejskiej, wpisuj ą cych si ę  w program Atrakcyjne Przestrzenie Miejskie.;
;; 2.562.489;921 Kultura i ochrona dziedzictwa narodowego; 2.562.489;92120 Ochrona zabytków i opieka nad zabytkami;Gmina;2156601 - Program działa ń  konserwatorskich; 213.000;wydatki bie Ŝą ce;W ramach zaplanowanej kwoty realizowane b ę d ą  m. in. nast ę puj ą ce wydatki: - zakup materiałów i wyposa Ŝ enia w tym m.in. wydawnictw specjalistycznych z dziedziny ochrony zabytków, - wykonanie ekspertyz i opinii technicznych obiektów zabytkowych,- zakup usług fotograficznych i kserograficznych, - znakowanie obiektów zabytkowych, - organizacja konferencji dotycz ą cej Listy  Ś wiatowego Dziedzictwa UNESCO,  -  koszty ewentualnych post ę powa ń  s ą dowych.;
;;;;;;;2156611 - Dofinansowanie prac konserwatorskich, restauratorskich i robót budowlanych przy zabytkachwpisanych do rejestru.; 1.379.709;wydatki bie Ŝą ce; W ramach zaplanowanych  ś rodków udzielane b ę d ą  dotacje na wykonanie prac konserwatorskich, restauratorskich i robót budowlanych w obiektach wpisanych do rejestru zabytków i niestanowi ą cych własno ś ci miasta. Zasady i tryb post ę powania o udzielenie dotacji, sposób jej rozliczania i sposób kontroli prac okre ś la Ustawa o ochronie zabytków i opiece nad zabytkami z dnia 23 lipca 2003 r. oraz uchwała Nr LXXII/1383/06 Rady Miejskiej w Łodzi z dnia 12 lipca 2006 r. w sprawie zasad i trybu udzielania dotacji naprace konserwatorskie, restauratorskie i roboty budowlane przy obiektach zabytkowych wpisanych dorejestru zabytków niestanowi ą cych własno ś ci Miasta Łodzi, sposobu ich rozliczania i kontroli wykonania zleconych zada ń , zmieniona uchwał ą  Nr LXXIII/1415/06 Rady Miejskiej w Łodzi z dnia 30 sierpnia 2006 r.;
;;;;;;;2156621 - Renowacje i prace konserwatorskie obiektów zabytkowych; 804.780;wydatki bie Ŝą ce;W ramach zadania realizowany b ę dzie m. in. zakup: - usług remontowych na wykonanie prac renowacyjnych i konserwatorskich Szkoły Podstawowej nr1przy ul .Sterlinga 24 (III etap),- zabezpieczenie polichromii w Pałacu Fischera przy ul. Narutowicza 1,- restauracja stolarki drzwiowej w kamienicy przy ul. Lipowej 28.;
;;;;;;;2156631 - Renowacje, prace konserwatorskie obiektów zabytkowych i inne wydatki zwi ą zane ze Strategi ą rozwoju ulicy Piotrkowskiej.; 125.000;wydatki bie Ŝą ce;W ramach zaplanowanej kwoty realizowane b ę d ą  m. in. nast ę puj ą ce wydatki wynikaj ą ce ze Strategii rozwoju ulicy Piotrkowskiej w tym m.in.: - powierzenie konkursu Przywró ć my blask Piotrkowskiej w kategoriach "witryna roku", "elewacja roku" i "podwórze roku",- opracowanie oraz wydruk Ksi ę gi Standardów dla Ulicy Piotrkowskiej oraz ulotek informacyjnych. ;
;;;;;;Powiat;2156642 - Prowadzenie ewidencji dóbr kultury; 40.000;wydatki bie Ŝą ce;Z zaplanowanych  ś rodków sfinansowane zostanie opracowanie ok. 50 kart ewidencyjnych obiektów zabytkowych architektury i budownictwa obj ę tych gminn ą  ewidencj ą  zabytków, zawieraj ą cych opis techniczny i historyczny wybranych obiektów zabytkowych.;
 302.003;Biuro ds. Inwestycji; 122.003;710 Działalno ść  usługowa; 122.003;71095 Pozostała działalno ść;Gmina;2156791 - Wydatki zwi ą zane z działalno ś ci ą  Biura; 122.003;wydatki bie Ŝą ce;Ś rodki finansowe zaplanowane w zadaniu zostan ą  przeznaczone na zakup usług, ekspertyz, analiz i opinii, koszty zast ę pstwa procesowego oraz na realizacj ę  umów-zlece ń  niezb ę dnych dla realizacji zada ń prowadzonych przez Biuro.;
;; 180.000;921 Kultura i ochrona dziedzictwa narodowego; 180.000;92195 Pozostała działalno ść;Gmina;2187011 - Art_Inkubator_2.0 - program wsparcia; 180.000;wydatki bie Ŝą ce;W ramach zadania zaplanowano do wykonania opracowanie i wdro Ŝ enie zintegrowanego programu wsparcia dla sektora kreatywnego w Łodzi;
 3.663.466;Biuro ds. Partycypacji Społecznej; 3.506.666;750 Administracja publiczna; 8.500;75023 Urz ę dy gmin (miast i miast na prawach powiatu);Gmina;2184501 - Wydatki zwi ą zane z utrzymaniem siedziby Osiedla Nr 33; 8.500;wydatki bie Ŝą ce;Powy Ŝ sze  ś rodki finansowe przeznaczone zostan ą  na pokrycie wydatków zwi ą zanych z wynajmem lokalu przy ul. Dyspozytorskiej 3 - siedziba organów Rady Osiedla Nr 33.;
;;;; 1.271.075;75053 Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów,burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie;Gmina;2184671 - Wydatki dot. działalno ś ci Miejskiej Komisji Wyborczej ds. Jednostek Pomocniczych; 23.100;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone zostan ą  na wynagrodzenia członków Miejskiej Komisji Wyborczej ds. Jednostek Pomocniczych za udział w posiedzeniach oraz wykonywanie innych zada ń  zwi ą zanych z wyborami do rad jednostek pomocniczych Miasta Łodzi - Rad Osiedli.;
;;;;;;;2184781 - Wybory do Rad Jednostek Pomocniczych Miasta Łodzi - Osiedli; 1.247.975;wydatki bie Ŝą ce;Ś rodki zostan ą  przeznaczone na sfinansowanie kosztów wyborów do Rad Jednostek Pomocniczych Miasta Łodzi - Osiedli V kadencji.;
;;;; 2.227.091;75095 Pozostała działalno ść;Gmina;2184301 - Osiedle Bałuty Zachodnie; 35.253;wydatki bie Ŝą ce;;
;;;;;;;2184311 - Osiedle Radogoszcz; 78.472;wydatki bie Ŝą ce;;
;;;;;;;2184321 - Osiedle Łagiewniki; 26.603;wydatki bie Ŝą ce;;
;;;;;;;2184331 - Osiedle Julianów-Marysin-Rogi; 43.777;wydatki bie Ŝą ce;;
;;;;;;;2184341 - Osiedle Bałuty-Doły; 100.344;wydatki bie Ŝą ce;;
;;;;;;;2184351 - Osiedle Bałuty-Centrum; 109.173;wydatki bie Ŝą ce;;
;;;;;;;2184361 - Osiedle Teofilów-Wielkopolska; 105.095;wydatki bie Ŝą ce;;
;;;;;;;2184371 - Osiedle Wzniesie ń  Łódzkich; 25.940;wydatki bie Ŝą ce;;
;;;;;;;2184381 - Osiedle  Ś ródmie ś cie-Wschód; 58.259;wydatki bie Ŝą ce;;
;;;;;;;2184391 - Osiedle Katedralna; 95.855;wydatki bie Ŝą ce;;
;;;;;;;2184401 - Osiedle Andrzejów; 33.248;wydatki bie Ŝą ce;;
;;;;;;;2184411 - Osiedle Dolina Łódki; 26.690;wydatki bie Ŝą ce;;
;;;;;;;2184421 - Osiedle Mileszki; 26.542;wydatki bie Ŝą ce;;
;;;;;;;2184431 - Osiedle Nowosolna; 29.859;wydatki bie Ŝą ce;;
;;;;;;;2184441 - Osiedle Nr 33; 24.953;wydatki bie Ŝą ce;;
;;;;;;;2184451 - Osiedle Olechów-Janów; 59.385;wydatki bie Ŝą ce;;
;;;;;;;2184461 - Osiedle Stary Widzew; 65.125;wydatki bie Ŝą ce;;
;;;;;;;2184471 - Osiedle Stoki; 42.325;wydatki bie Ŝą ce;;
;;;;;;;2184481 - Osiedle Widzew-Wschód; 92.604;wydatki bie Ŝą ce;;
;;;;;;;2184491 - Osiedle Zarzew; 59.838;wydatki bie Ŝą ce;;
;;;;;;;2184511 - Osiedle Nad Nerem; 25.474;wydatki bie Ŝą ce;;
;;;;;;;2184521 - Osiedle Ruda; 43.121;wydatki bie Ŝą ce;;
;;;;;;;2184531 - Osiedle Chojny; 81.470;wydatki bie Ŝą ce;;
;;;;;;;2184541 - Osiedle Górniak; 58.440;wydatki bie Ŝą ce;;
;;;;;;;2184551 - Osiedle Chojny-D ą browa; 111.752;wydatki bie Ŝą ce;;
;;;;;;;2184561 - Osiedle Wiskitno; 29.172;wydatki bie Ŝą ce;;
;;;;;;;2184571 - Osiedle Piastów-Kurak; 60.269;wydatki bie Ŝą ce;;
;;;;;;;2184581 - Osiedle Rokicie; 54.511;wydatki bie Ŝą ce;;
;;;;;;;2184591 - Osiedle Złotno; 36.045;wydatki bie Ŝą ce;;
;;;;;;;2184601 - Osiedle Stare Polesie; 87.522;wydatki bie Ŝą ce;;
;;;;;;;2184611 - Osiedle Koziny; 42.514;wydatki bie Ŝą ce;;
;;;;;;;2184621 - Osiedle Karolew-Retkinia Wschód; 91.482;wydatki bie Ŝą ce;;
;;;;;;;2184631 - Osiedle Retkinia Zachód-Smulsko; 71.507;wydatki bie Ŝą ce;;
;;;;;;;2184641 - Osiedle Lublinek-Pienista; 30.964;wydatki bie Ŝą ce;;
;;;;;;;2184651 - Osiedle Zdrowie-Mania; 28.963;wydatki bie Ŝą ce;;
;;;;;;;2184661 - Osiedle im. Józefa Montwiłła-Mireckiego; 26.627;wydatki bie Ŝą ce;Przyznane  ś rodki finansowe jednostkom pomocniczym w bud Ŝ ecie Miasta reguluje uchwała nr LXII/1319/13 Rady Miejskiej w Łodzi z dnia 16 maja 2013 r.Przy ustalaniu wysoko ś ci  ś rodków finansowych jednostkom pomocniczym Miasta uwzgl ę dniona została stała kwota dla wszystkich jednostek pomocniczych, przyj ę ta jako stała kwota przyznanych  ś rodków w 2013 r. powi ę kszona o 2,4 % oraz kwot ę  dodatkow ą , proporcjonaln ą  do liczby mieszka ń ców ustalon ą  w wysoko ś ci 1,73 zł na jednego mieszka ń ca. Powy Ŝ sze wydatki przeznaczone s ą  na działalno ść  administracyjn ą  i pokrycie kosztów zwi ą zanych z funkcjonowaniem jednostek pomocniczych, m.in. na: zakup materiałów biurowych i wyposa Ŝ enia, zakup usług telekomunikacyjnych i dost ę pu do sieci Internet, opłaty za energi ę , gaz, czynsz, wywóz nieczysto ś ci, zakup znaczków pocztowych i biletów MPK oraz wypłaty diet członkom organów jednostek pomocniczych Miasta Łodzi tj. członkom zarz ą du osiedla, członkom rady osiedla pełni ą cym funkcje: przewodnicz ą cego rady, zast ę pcy przewodnicz ą cego rady oraz sekretarza osiedla.;
;;;;;;;2184701 - Wydatki Zespołu ds. Konsultacji Społecznych; 7.266;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone zostan ą  na zakup usług zwi ą zanych z przygotowaniem  i prowadzeniem konsultacji społecznych.;
;;;;;;;2184711 - Wydatki Oddziału ds. Współpracy z Organizacjami Pozarz ą dowymi; 652;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone zostan ą  na wydatki dotycz ą ce współpracy  z organizacjami pozarz ą dowymi, w tym m.in. zakup dyplomów, nagród rzeczowych, ksi ąŜ ek, kwiatów.;
;;;;;;;2184771 - Upowszechnianie działa ń  wspomagaj ą cych rozwój demokracji w zakresie dotycz ą cym realizacji Bud Ŝ etu Obywatelskiego na 2015 r.; 200.000;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone zostan ą  na kontynuacj ę  działa ń  wspieraj ą cych partycypacj ę  społeczn ą , w szczególno ś ci poprzez upowszechnianie wiedzy dotycz ą cej zasad bud Ŝ etu obywatelskiego oraz poszerzenie umiej ę tno ś ci praktycznych dotycz ą cych tworzenia projektów i pracy w zespołach projektowych w ś ród mieszka ń ców Łodzi.;
;; 156.800;853 Pozostałe zadania w zakresie polityki społecznej; 156.800;85395 Pozostała działalno ść;Gmina;2184721 - Prowadzenie Łódzkiego Centrum Obywatelskiego dla organizacji pozarz ą dowych; 98.000;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone zostan ą  na realizacj ę  zadania, dotycz ą cego zlecenia prowadzenia Centrum Obywatelskiego wspieraj ą cego działalno ść   ś rodowiska łódzkich organizacji pozarz ą dowych poprzez: - wsparcie informacyjno - doradcze (dy Ŝ ury doradcze, doradztwo prawne, ksi ę gowe, projektowe; bilblioteka dla NGO, prowadzenie serwisu informacyjnego dla organizacji, udost ę pnianie publikacji i materiałów istotnych dla sektora pozarz ą dowego), - szkolenia dla liderów organizacji pozarz ą dowych w zakresie m.in.: finansowania działa ń  NGO, budowania stabilno ś ci finansowej i samofinansowania NGO, zarz ą dzania organizacj ą , ksi ę gowo ść   w NGO itp.,- inkubator dla nowopowstałych organizacji pozarz ą dowych (pomoc w rejestracji, tworzenie indywidualnych planów rozwoju dla ka Ŝ dej z organizacji), - udost ę pnianie zasobów lokalowych i sprz ę towych dla organizacji pozarz ą dowych (korzystanie z sali na spotkania, sprz ę tu komputerowego i biurowego, dost ę pu do internetu).;
;;;;;;;2184731 - Promocja i organizacja wolontariatu; 58.800;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone zostan ą  na działania informacyjno-promocyjne, pozyskiwanie wolontariuszy, współprac ę  z zainteresowanymi instytucjami, szkolenia, prowadzenia bazy danych wolontariuszy itp.;
 105.769.124;Biuro ds. Zarz ą dzania Kadrami; 102.325.371;750 Administracja publiczna; 101.908.472;75023 Urz ę dy gmin (miast i miast na prawach powiatu);Gmina;2178301 - Wydatki osobowe pracowników Urz ę du; 74.880.826;wydatki bie Ŝą ce;Zaplanowana w ramach zadania dla gminy kwota przeznaczona zostanie na wydatki osobowepracowników Urz ę du Miasta  Łodzi, tj. na  wynagrodzenia osobowe  pracowników, dodatkowe wynagrodzenie roczne wraz z pochodnymi  od  wynagrodze ń . Zaplanowane  wydatki obejmuj ą  tak Ŝ e  ś rodki  na  wypłaty  odpraw, koszty zast ę pstwa procesowego oraz  odszkodowania.;
;;;;;;;2178381 - Wydatki zwi ą zane z bie Ŝą c ą  działalno ś ci ą  Biura; 18.900;wydatki bie Ŝą ce;Planowane  wydatki przeznaczone s ą  na pokrycie kosztów  post ę powa ń  s ą dowych zwi ą zanych z roszczeniami pracowników.;
;;;;;;;2178401 - Wpłaty na  Pa ń stwowy Fundusz Rehabilitacji Osób Niepełnosprawnych; 551.600;wydatki bie Ŝą ce;Planowane wydatki przeznaczone zostan ą   na wpłaty na rzecz Pa ń stwowego Funduszu Rehabilitacji Osób Niepełnosprawnych. Obowi ą zek  wpłat na PFRON  nakładaj ą    przepisy ustawy z dnia 27  sierpnia 1997 r. o  rehabilitacji zawodowej i społecznej oraz zatrudnieniu osób niepełnosprawnych (Dz.U. z 2011 r.Nr 127, poz. 721 z pó ź . zm.).;
;;;;;;;2178411 - Odpis na  zakładowy fundusz   ś wiadcze ń  socjalnych; 2.494.875;wydatki bie Ŝą ce;Zaplanowane  ś rodki finansowe przeznaczone zostan ą  na odpis na zakładowy fundusz  ś wiadcze ń socjalnych w Urz ę dzie Miasta Łodzi, zgodnie z przepisami ustawy z dnia 4 marca 1994 r. o zakładowym funduszu  ś wiadcze ń  socjalnych (Dz. U. z 1996 r. Nr 70, poz. 335, z pó Ŝ n. zm.);
;;;;;;Powiat;2178312 - Wydatki osobowe pracowników Urz ę du; 23.962.271;wydatki bie Ŝą ce;Zaplanowana w ramach zadania dla powiatu kwota przeznaczona zostanie na wydatki osobowepracowników Urz ę du Miasta  Łodzi, tj. na  wynagrodzenia osobowe  pracowników, dodatkowe wynagrodzenie roczne wraz z pochodnymi  od  wynagrodze ń . Zaplanowane  wydatki obejmuj ą  tak Ŝ e  ś rodki  na  wypłaty  odpraw, koszty zast ę pstwa procesowego oraz  odszkodowania.;
;;;; 416.899;75095 Pozostała działalno ść;Gmina;2178281 - Podnoszenie kwalifikacji zawodowych pracowników Urz ę du Miasta Łodzi; 416.899;wydatki bie Ŝą ce;Zaplanowane w ramach zadania wydatki przeznaczone zostan ą  m.in. na: - pokrycie kosztów udziału pracowników UMŁ w szkoleniach, kursach,  konferencjach i seminariach,- dofinansowanie do studiów podyplomowych pracowników UMŁ oraz zakup usług w  zwi ą zku ze szkoleniami   organizowanymi dla pracowników UMŁ,- zakup pomocy naukowych, dydaktycznych i ksi ąŜ ek na potrzeby organizacji  szkole ń  pracowników UMŁ,- zakup materiałów szkoleniowych i wyposa Ŝ enia na potrzeby organizacji szkole ń   pracowników UMŁ.;
;; 794.203;754 Bezpiecze ń stwo publiczne i ochrona przeciwpo Ŝ arowa; 794.203;75421 Zarz ą dzanie kryzysowe;Gmina;2178431 - Odpis na zakładowy fundusz  ś wiadcze ń  socjalnych; 18.000;wydatki bie Ŝą ce;Zaplanowane  ś rodki finansowe przeznaczone zostan ą  na odpis  na zakładowy fundusz  ś wiadcze ń socjalnych w Urz ę dzie Miasta Łodzi, zgodnie z przepisami ustawy  z dnia  4 marca 1994 r. o zakładowym funduszu  ś wiadcze ń  socjalnych (Dz. U. z 1996 r. Nr 70, poz. 335, z pó Ŝ n. zm.).;
;;;;;;Powiat;2178362 - Wydatki osobowe zwi ą zane z realizacj ą  zada ń  z zakresu zarz ą dzania kryzysowego; 776.203;wydatki bie Ŝą ce;Powy Ŝ sze  ś rodki  zaplanowano na  wydatki osobowe pracowników  realizuj ą cych zadania  z zakresu zarz ą dzania  kryzysowego, zgodnie  z ustaw ą   z dnia   26 kwietnia 2007 r. o zarz ą dzaniu kryzysowym, tj. na  wynagrodzenia osobowe pracowników, dodatkowe wynagrodzenie roczne wraz z pochodnymi odwynagrodze ń  pracowników  pełni ą cych  całodobowe dy Ŝ ury w celu zapewnienia  przepływu  informacji  z zakresu zarz ą dzania kryzysowego.;
;; 2.649.550;900 Gospodarka komunalna i ochrona  ś rodowiska; 2.649.550;90002 Gospodarka odpadami;Gmina;2178391 - Wynagrodzenia osobowe pracowników realizuj ą cych zadania zwi ą zane z zagospodarowaniem odpadów komunalnych; 2.609.000;wydatki bie Ŝą ce;Zaplanowane  w ramach zadania   ś rodki przeznacza si ę  na wydatki osobowe pracowników realizuj ą cych zadania  zwi ą zane z zagospodarowaniem odpadów  komunalnych, tj. na  wynagrodzenia osobowe pracowników, dodatkowe  wynagrodzenie  roczne wraz  z  pochodnymi od  wynagrodze ń .;
;;;;;;;2178421 - Odpis na zakładowy fundusz  ś wiadcze ń  socjalnych; 24.750;wydatki bie Ŝą ce;Zaplanowane  ś rodki finansowe przeznaczone zostan ą  na odpis na zakładowy fundusz  ś wiadcze ń socjalnych w Urz ę dzie  Miasta  Łodzi, zgodnie z przepisami ustawy z dnia  4 marca 1994 r. o zakładowym funduszu  ś wiadcze ń  socjalnych (Dz. U. z 1996 r. Nr 70, poz. 335, z pó Ŝ n. zm.).;
;;;;;;;2178441 - Podnoszenie kwalifikacji zawodowych pracowników realizuj ą cych zadania zwi ą zane z zagospodarowaniem odpadów  komunalnych.; 15.800;wydatki bie Ŝą ce;Zaplanowane w ramach zadania kwota przeznacza jest na pokrycie kosztów udziału pracownikówrealizuj ą cych powy Ŝ sze zadanie  w szkoleniach i kursach.;
 181.131;Biuro Egzekucji Administracyjnej i Windykacji; 181.131;750 Administracja publiczna; 181.131;75023 Urz ę dy gmin (miast i miast na prawach powiatu);Gmina;2176891 - Wydatki zwi ą zane z działalno ś ci ą  Biura; 181.131;wydatki bie Ŝą ce;Ś rodki powy Ŝ sze przeznaczone zostan ą  m.in. na koszty biegłych w post ę powaniu egzekucyjnym w administracji, koszty wykonania zast ę pczego, tj. egzekucji obowi ą zków o charakterze niepieni ęŜ nym, koszty post ę powania s ą dowego i prokuratorskiego, wydatki na współprac ę  z biurami informacji gospodarczej oraz inne wydatki zwi ą zane z działalno ś ci ą  Biura.;
 2.088.725;Biuro Funduszy Europejskich; 220.487;750 Administracja publiczna; 28.455;75023 Urz ę dy gmin (miast i miast na prawach powiatu);Gmina;2176941 - Wydatki zwi ą zane z działalno ś ci ą  Biura; 28.455;wydatki bie Ŝą ce;Zaplanowana kwota zostanie wykorzystana m.in.na zakup prenumeraty czasopism dot. funduszyeuropejskich, przygotowanie dokumentów aplikacyjnych; organizacj ę  spotka ń  współpracy partnerskiej, przygotowanie dokumentów wymaganych do prawdłowej realizacji projektów.;
;;;; 158.200;75075 Promocja jednostek samorz ą du terytorialnego;Gmina;2176971 - Organizacja inicjatyw i imprez w Brukseli na rzecz wspierania przygotowania i realizacji projektówfinansowanych z funduszy UE oraz wydatki zwi ą zane z działalno ś ci ą  Sekcji Miasta Łodzi w ramach Regionalnego Biura Województwa Łódzkiego w Brukseli; 158.200;wydatki bie Ŝą ce;Zaplanowana kwota zostanie przeznaczona m.in. na:- wydarzenie lokalne Open Days IV - seminarium z cyklu Miasto w obliczu nowej perspektywy finansowej2014-2020, - udział w tygodniu Zrównowa Ŝ onej Energii "Energy Week",  - Urban event KE III - seminarium z cyklu Miasto w obliczu nowej perspektywy finansowej 2014-2020.- zakup wyposa Ŝ enia i materiałów biurowych np. kart telefonicznych  na potrzeby funkcjonowania Sekcji Miasta Łodzi;- koszty  z tytułu programu sta Ŝ owego w Biurze w Brukseli; - koszty opłat zwi ą zanych z najmem mieszkania oraz ubezpieczeniem mieszkania słu Ŝ bowego dla Przedstawiciela Miasta Łodzi w Brukseli.;
;;;; 33.832;75095 Pozostała działalno ść;Gmina;2176951 - Organizacja i uczestnictwo w szkoleniach i konferencjach dot. współpracy z UE, w tym opracowanieopinii i materiałów; 33.832;wydatki bie Ŝą ce;Planowane wydatki obejmuj ą  organizacj ę  i uczestnictwo pracowników Urz ę du Miasta Łodzi w szkoleniach, kursach i konferencjach dotycz ą cych Unii Europejskiej, a tak Ŝ e zwi ą zanych z wykorzystaniem funduszy strukturalnych organizowanych przez firmy zewn ę trzne.  ;
;; 1.868.238;853 Pozostałe zadania w zakresie polityki społecznej; 1.868.238;85395 Pozostała działalno ść;Powiat;2177092 - Akademia  Ŝ ycia 3; 691.240;wydatki bie Ŝą ce;Projekt "Akademia  Ŝ ycia 3" realizowany jest w latach 2013-2015 w ramach Programu Operacyjnego Kapitał Ludzki, współfinansowany jest w 85% ze  ź ródeł Europejskiego Funduszu Społecznego w formie płatno ś ci oraz w 15% ze  ś rodków bud Ŝ etu pa ń stwa w formie dotacji celowej.  Liderem projektu jest Caritas Archidiecezji Łódzkiej. Celem projektu jest podniesienie kwalifikacji i kompetencji niezb ę dnych na rynku pracy w ś ród 90 młodych mieszka ń ców Łodzi zagro Ŝ onych wykluczeniem społecznym.  W ramach projektu jego uczestnicy zostan ą  obj ę ci m.in. szkoleniami zawodowymi, poradnictwem psychologicznym i psychospołecznym, odb ę d ą  ponadto sta Ŝ e zawodowe u pracodawców.  Miasto b ę d ą ce partnerem w projekcie poniesie w roku 2014 wydatki zwi ą zane z rekrutacj ą , promocj ą  oraz organizacj ą , rozliczaniem i monitorowaniem sta Ŝ y u pracodawców.;
